Geo Point;Geo Shape;ID;GEST;NUM;Localisati;ADR_S;dep;ARRO;MODELE;NB;TYPE_ENP;CLASSEE;COMPTEUR;OUV_HIVER;SDF;EN_SERVICE;COMM;ADR_APUR;ARR;code;CFA;NUM1;LET;TYPV;LIBV;CLE;num_ox;ARRO1;QUA;A_BOIRE
48.8455274608, 2.25550660889;"{""type"": ""Point"", ""coordinates"": [2.255506608891871, 48.8455274607602]}";1032.0;DVD;16/123;;21 Avenue du Général Sarrail;75.0;75016;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;21 Avenue du General Sarrail;116.0;14.0;4083;21;;AV;GENERAL SARRAIL;4083-21;;16.0;61.0;1
48.8384964126, 2.2585882858;"{""type"": ""Point"", ""coordinates"": [2.258588285804492, 48.838496412625894]}";1034.0;DVD;16/103;;224 avenue de Versailles;75.0;75016;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;224 avenue de Versailles;116.0;14.0;9706;224;;AV;VERSAILLES;9706-224;;16.0;61.0;1
48.8381521871, 2.25870518213;"{""type"": ""Point"", ""coordinates"": [2.258705182133613, 48.838152187118496]}";1019.0;DDEEES;;Marché Point du Jour;215 avenue de Versailles;75.0;75016;Borne marché;1.0;Non;Non;;;;;;215 avenue de Versailles;116.0;13.0;9706;215;;AV;VERSAILLES;9706-215;;16.0;61.0;0
48.8388759377, 2.26158735563;"{""type"": ""Point"", ""coordinates"": [2.261587355627616, 48.838875937745776]}";1016.0;DDEEES;;Marché Point du Jour;19 rue Le Marois;75.0;75016;Borne marché;1.0;Non;Non;;;;;;19 rue Le Marois;116.0;13.0;5500;19;;RUE;LE MAROIS;5500-19;;16.0;61.0;0
48.8482186212, 2.26509661114;"{""type"": ""Point"", ""coordinates"": [2.265096611136842, 48.84821862117697]}";1025.0;DDEEES;;Marché Auteuil;6 rue Donizetti;75.0;75016;Borne marché;1.0;Non;Non;;;;;;6 rue Donizetti;116.0;13.0;2896;6;;RUE;DONIZETTI;2896-6;;16.0;61.0;0
48.8445462529, 2.26863082643;"{""type"": ""Point"", ""coordinates"": [2.268630826427918, 48.84454625290721]}";977.0;DEVE;;Jardin de l'Hôpital Sainte-Périne;41 rue Mirabeau;75.0;75016;Borne-fontaine;2.0;Non;Non;Non;Non;Oui;Oui;;41 rue Mirabeau;116.0;4.0;6381;41;;RUE;MIRABEAU;6381-41;;16.0;61.0;1
48.8441265623, 2.2773951354;"{""type"": ""Point"", ""coordinates"": [2.277395135400051, 48.84412656230891]}";890.0;DPA;63;Fontaine du Saint-Haon;21 rue Balard;75.0;75015;Fontaine ornementale;1.0;Non;Non;Oui;Non;;Oui;accessible;21 rue Balard;115.0;12.0;0639;21;;RUE;BALARD;0639-21;;15.0;60.0;0
48.8409169077, 2.27577864693;"{""type"": ""Point"", ""coordinates"": [2.275778646930915, 48.840916907657366]}";856.0;DEVE;;Parc André Citroën;2 rue de la Montagne de la Fage;75.0;75015;Modèle spécifique;4.0;Non;Non;Non;Non;Oui;Oui;;2 rue de la Montagne de la Fage;115.0;7.0;6455;2;;RUE;MONTAGNE DE LA FAGE;6455-2;;15.0;60.0;1
48.8415117128, 2.2739788638;"{""type"": ""Point"", ""coordinates"": [2.273978863802502, 48.84151171282669]}";875.0;DEVE;109;Canal Ouest;2 rue de la Montagne de la Fage;75.0;75015;Fontaine ornementale;1.0;;;;;;;;2 rue de la Montagne de la Fage;115.0;12.0;6455;2;;RUE;MONTAGNE DE LA FAGE;6455-2;;15.0;60.0;0
48.8415117128, 2.2739788638;"{""type"": ""Point"", ""coordinates"": [2.273978863802502, 48.84151171282669]}";876.0;DEVE;111;Cascade;2 rue de la Montagne de la Fage;75.0;75015;Fontaine ornementale;1.0;;;;;;;;2 rue de la Montagne de la Fage;115.0;12.0;6455;2;;RUE;MONTAGNE DE LA FAGE;6455-2;;15.0;60.0;0
48.8415117128, 2.2739788638;"{""type"": ""Point"", ""coordinates"": [2.273978863802502, 48.84151171282669]}";879.0;DEVE;115;Coursier et buffet d’eau C;2 rue de la Montagne de la Fage;75.0;75015;Fontaine ornementale;1.0;;;;;;;;2 rue de la Montagne de la Fage;115.0;12.0;6455;2;;RUE;MONTAGNE DE LA FAGE;6455-2;;15.0;60.0;0
48.8415117128, 2.2739788638;"{""type"": ""Point"", ""coordinates"": [2.273978863802502, 48.84151171282669]}";880.0;DEVE;116;Coursier et buffet d’eau D;2 rue de la Montagne de la Fage;75.0;75015;Fontaine ornementale;1.0;;;;;;;;2 rue de la Montagne de la Fage;115.0;12.0;6455;2;;RUE;MONTAGNE DE LA FAGE;6455-2;;15.0;60.0;0
